ID,Tahun,Nama_Negara,Wilayah,Jenis_Tanaman,Total_Curah_Hujan_mm,Emisi_CO2_JT_Ton,Hasil_Panen_Ton_per_HA,Kejadian_Cuaca_Ekstrim,Akses_Irigasi,Penggunaan_Pestisida_KG_per_HA,Penggunaan_Pupuk_KG_per_HA,Indeks_Kesehatan_Tanah,Strategi_Adaptasi,Suhu_Rata_Rata_C
1913,1992,India,Punjab,Cotton,2277.07,18.06,1.818,3,77.61,13.12,78.69,31.88,Rotasi Tanaman,17.32
1914,2017,Argentina,Northeast,Rice,1558.75,11.82,2.71,2,14.33,29.3,59.97,46.79,Manajemen Air,21.3
1915,2008,Nigeria,South West,Rice,2501.33,28.68,3.6,0,83.33,38.43,68.14,77.9,Pertanian Organik,11.02
1916,2011,Russia,Central,Rice,1983.72,3.2,2.53,10,66.76,1.15,74.17,47.71,Tanpa Adaptasi,15.78
1917,2012,France,Provence-Alpes-Cote d’Azur,Sugarcane,252.84,22.12,2.556,6,67.62,12.91,56.0,45.51,Tanpa Adaptasi,4.49
1918,1996,China,North,Cotton,852.28,8.66,1.35,1,76.83,1.31,6.4,35.04,Manajemen Air,24.61
1919,1998,Argentina,Patagonia,Barley,1994.55,8.78,1.46,1,94.88,9.0,62.98,39.54,Tanaman Tahan Kekeringan,8.61
1920,2003,Nigeria,South West,Soybeans,2800.15,6.45,1.93,5,35.89,34.43,60.26,45.87,Rotasi Tanaman,9.39
1921,2023,Australia,Western Australia,Barley,1303.51,23.11,2.124,3,29.47,12.32,42.51,71.4,Manajemen Air,10.64
1922,2015,Brazil,South,Wheat,629.33,12.02,1.88,9,29.06,47.85,74.86,47.09,Pertanian Organik,29.62
1923,1998,USA,Midwest,Cotton,2777.74,18.47,1.125,9,10.52,7.34,98.5,36.16,Pertanian Organik,34.73
1924,2005,Russia,Siberian,Soybeans,1134.41,27.92,1.845,10,39.89,12.68,73.51,72.97,Rotasi Tanaman,27.04
1925,2019,China,North,Rice,824.87,17.0,2.088,5,46.37,20.41,89.97,92.57,Tanaman Tahan Kekeringan,11.96
1926,2015,Nigeria,South East,Corn,1676.1,11.83,0.94,6,17.24,14.75,73.69,82.4,Manajemen Air,-4.84
1927,2004,Argentina,Patagonia,Coffee,2510.62,28.98,0.8280000000000001,0,12.51,39.09,50.39,55.48,Pertanian Organik,-0.33
1928,1992,India,West Bengal,Soybeans,1371.86,15.72,1.8,5,93.31,7.39,50.44,76.93,Tanpa Adaptasi,13.39
1929,1998,Russia,Northwestern,Vegetables,1129.6,7.91,0.81,10,23.91,21.75,52.47,33.72,Pertanian Organik,9.7
1930,2011,Russia,Central,Rice,1819.34,2.47,1.16,3,25.72,10.95,36.54,75.78,Manajemen Air,29.27
1931,2021,Argentina,Pampas,Cotton,2380.26,16.47,2.943,6,70.92,20.84,55.47,71.61,Rotasi Tanaman,34.05
1932,2004,France,Grand Est,Wheat,2075.38,15.36,2.9970000000000003,4,71.51,48.69,12.53,91.27,Tanaman Tahan Kekeringan,28.02
1933,2001,Argentina,Pampas,Fruits,2989.7,23.63,1.4580000000000002,9,92.56,12.81,92.51,58.78,Tanpa Adaptasi,20.27
1934,2003,Canada,Quebec,Wheat,2009.2,21.14,1.593,7,13.79,9.3,93.94,89.59,Pertanian Organik,0.55
1935,1992,France,Ile-de-France,Coffee,996.46,28.51,2.4480000000000004,10,13.14,14.9,73.25,72.99,Rotasi Tanaman,-2.68
1936,2007,USA,South,Soybeans,1484.05,21.53,3.186,1,11.31,23.84,2.87,64.05,Manajemen Air,22.69
1937,2017,Australia,Victoria,Wheat,296.34,10.26,1.035,0,52.81,42.01,28.24,90.27,Pertanian Organik,34.92
1938,1995,USA,West,Fruits,927.61,29.72,3.159,10,96.15,12.77,87.86,57.13,Manajemen Air,10.8
1939,2013,India,Tamil Nadu,Soybeans,983.14,16.23,1.143,3,37.64,35.35,1.68,38.95,Manajemen Air,22.32
1940,2014,Russia,Siberian,Rice,2467.88,21.92,3.042,5,58.66,34.78,38.63,66.65,Tanaman Tahan Kekeringan,20.54
1941,2024,France,Ile-de-France,Sugarcane,2107.57,12.44,1.09,3,81.68,19.04,49.99,90.34,Manajemen Air,4.4
1942,2016,Brazil,North,Sugarcane,1582.88,23.73,3.4650000000000003,8,86.71,47.19,95.75,39.36,Pertanian Organik,13.2
1943,1994,Australia,Queensland,Corn,798.65,8.8,0.83,7,56.83,45.07,32.18,87.31,Tanpa Adaptasi,31.39
1944,2019,India,Tamil Nadu,Fruits,500.06,7.03,2.99,5,23.69,1.86,65.55,44.7,Pertanian Organik,-2.57
1945,1998,Brazil,Southeast,Corn,1320.73,15.6,3.0690000000000004,3,38.24,24.53,19.99,75.54,Pertanian Organik,34.78
1946,2020,USA,Midwest,Rice,630.53,8.77,1.65,9,32.22,46.08,78.47,60.68,Manajemen Air,4.66
1947,2023,USA,Midwest,Wheat,480.19,19.92,2.4120000000000004,7,61.37,41.03,61.89,82.3,Manajemen Air,18.14
1948,2009,Brazil,South,Barley,556.08,21.65,2.565,7,60.12,29.19,72.57,99.73,Rotasi Tanaman,12.81
1949,2007,Nigeria,South West,Vegetables,1747.99,10.11,0.87,6,31.7,1.76,76.94,99.84,Manajemen Air,31.87
1950,2008,Australia,Western Australia,Cotton,498.54,6.12,4.149,0,83.49,2.74,0.05,57.99,Tanpa Adaptasi,19.91
1951,2006,Nigeria,South East,Coffee,651.1,1.54,0.97,7,98.83,13.51,95.61,64.4,Tanpa Adaptasi,2.46
1952,1996,France,Ile-de-France,Wheat,2578.74,24.56,0.873,9,26.24,49.34,82.98,55.4,Rotasi Tanaman,4.53
1953,2000,Nigeria,North West,Coffee,324.03,12.36,3.294,8,55.42,38.45,80.18,82.33,Tanpa Adaptasi,19.72
1954,2007,Argentina,Northeast,Sugarcane,1491.29,4.55,3.42,10,47.14,23.91,51.57,82.6,Tanpa Adaptasi,16.8
1955,2019,France,Provence-Alpes-Cote d’Azur,Rice,2909.28,27.05,0.972,4,49.18,26.61,19.78,35.18,Manajemen Air,-4.56
1956,2014,India,Tamil Nadu,Fruits,2959.07,10.58,2.64,6,63.11,15.42,93.38,78.12,Manajemen Air,22.02
1957,2002,USA,Northeast,Wheat,2762.1,1.45,4.81,7,70.09,32.56,35.65,41.33,Tanpa Adaptasi,10.55
1958,1999,Russia,Volga,Barley,1026.42,12.88,1.39,0,63.62,22.07,87.75,83.28,Pertanian Organik,21.61
1959,1999,Argentina,Patagonia,Fruits,899.83,18.05,0.855,1,49.34,13.71,28.09,66.89,Manajemen Air,-4.2
1960,2014,Australia,New South Wales,Coffee,2709.29,5.84,2.19,1,82.67,12.95,77.19,91.78,Tanpa Adaptasi,20.42
1961,2013,Argentina,Pampas,Barley,1600.23,24.19,1.449,5,43.59,7.76,41.96,54.01,Rotasi Tanaman,10.51
1962,2010,India,Maharashtra,Fruits,1763.15,15.63,1.4400000000000002,9,93.84,18.57,33.86,57.78,Manajemen Air,9.85
1963,1994,Canada,Quebec,Rice,1284.85,14.32,0.65,5,40.56,9.86,31.61,55.92,Pertanian Organik,-4.17
1964,1998,USA,West,Soybeans,2219.61,4.36,4.32,4,35.19,34.81,53.64,91.5,Tanaman Tahan Kekeringan,10.18
1965,2005,Australia,Victoria,Corn,1140.18,14.62,3.65,1,38.51,46.44,83.38,75.03,Pertanian Organik,17.49
1966,2017,China,South,Rice,2618.59,18.72,0.81,1,78.76,29.83,59.12,37.39,Manajemen Air,1.05
1967,2000,India,West Bengal,Soybeans,742.94,14.82,3.94,10,92.85,43.05,17.8,39.66,Tanpa Adaptasi,33.0
1968,2007,China,Central,Fruits,1562.61,0.61,3.25,10,71.87,7.96,2.25,57.16,Pertanian Organik,14.0
1969,2023,Canada,Quebec,Wheat,710.57,4.03,2.48,10,67.09,17.28,11.43,64.99,Manajemen Air,-2.61
1970,2023,China,South,Corn,1262.2,6.73,4.48,0,14.26,41.22,26.16,55.67,Manajemen Air,16.45
1971,2003,Australia,New South Wales,Barley,1164.6,25.59,2.2230000000000003,4,12.82,26.75,48.21,58.84,Tanpa Adaptasi,8.31
1972,2024,Russia,Siberian,Cotton,1049.9,9.83,2.238219358974359,2,11.94,29.62,62.87,58.36,Rotasi Tanaman,14.89
1973,1995,Canada,British Columbia,Soybeans,1615.5030597110344,3.64,2.81,4,94.09,20.84,70.33,87.47,Tanaman Tahan Kekeringan,18.96
1974,1998,India,West Bengal,Sugarcane,2822.58,2.11,0.97,2,17.14,37.97,19.23,34.49,Tanaman Tahan Kekeringan,31.15
1975,2000,Brazil,Northeast,Fruits,1763.32,27.66,2.781,5,69.44,24.79,64.38,33.49,Tanaman Tahan Kekeringan,34.7
1976,1991,China,Central,Cotton,1760.44,8.28,2.34,8,68.79,47.07,84.25,46.8,Tanpa Adaptasi,22.12
1977,1990,China,South,Fruits,2087.65,13.17,2.04,8,39.51,2.78,7.57,42.66,Tanpa Adaptasi,19.25
1978,1999,Nigeria,South West,Corn,2502.55,4.88,3.26,0,33.91,44.82,94.42,42.89,Tanaman Tahan Kekeringan,17.0
1979,2012,Brazil,Southeast,Sugarcane,1918.47,6.91,3.81,4,89.47,16.31,84.3,51.69,Pertanian Organik,33.44
1980,2016,China,Central,Coffee,593.98,28.4,2.6910000000000003,1,20.5,37.46,22.01,95.61,Tanaman Tahan Kekeringan,13.34
1981,2016,Brazil,Southeast,Soybeans,900.67,20.21,1.035,10,12.23,8.83,4.47,32.43,Rotasi Tanaman,26.98
1982,2019,Argentina,Northeast,Corn,1416.46,15.94,3.528,0,79.6,3.94,61.67,99.77,Tanaman Tahan Kekeringan,12.29
1983,2003,Russia,Volga,Sugarcane,1040.21,14.93,2.7,2,85.96,49.54,2.35,57.18,Pertanian Organik,27.24
1984,2021,Argentina,Northwest,Barley,1049.71,19.52,2.466,2,83.19,13.51,42.46,61.47,Rotasi Tanaman,19.42
1985,2009,Canada,Prairies,Soybeans,1214.86,17.91,0.891,2,60.97,33.97,21.77,86.43,Pertanian Organik,34.76
1986,2018,Russia,Siberian,Rice,588.9,24.41,1.998,5,73.02,43.77,25.42,57.67,Manajemen Air,7.27
1987,2020,Canada,British Columbia,Rice,526.58,6.44,2.53,9,95.95,29.65,48.11,91.6,Pertanian Organik,-2.33
1988,2003,Australia,Victoria,Soybeans,1737.72,29.57,1.134,4,91.48,2.31,73.13,70.16,Manajemen Air,28.08
1989,2006,Australia,New South Wales,Corn,2566.16,29.69,1.359,8,68.42,2.34,55.61,75.24,Tanaman Tahan Kekeringan,13.36
1990,2019,Nigeria,South West,Fruits,1959.59,19.38,3.852,4,28.77,6.1,49.49,39.02,Manajemen Air,17.96
1991,2016,India,Maharashtra,Vegetables,280.45,13.03,2.943,4,93.02,40.35,50.43,76.94,Pertanian Organik,30.97
1992,2014,Canada,Prairies,Sugarcane,294.64,22.59,1.2060000000000002,8,89.68,40.98,91.3,46.21,Pertanian Organik,5.84
1993,2023,Russia,Siberian,Barley,1347.01,29.73,1.629,7,65.48,8.42,68.14,52.5,Tanpa Adaptasi,26.75
1994,2016,France,Grand Est,Coffee,2793.65,28.49,1.4400000000000002,10,75.97,4.84,8.5,69.65,Pertanian Organik,16.82
1995,2006,Nigeria,South West,Barley,1561.24,12.11,1.37,10,19.79,0.08,36.44,95.53,Tanpa Adaptasi,-0.13
1996,2024,Nigeria,North Central,Wheat,2577.95,11.03,1.77,5,25.33,16.76,20.58,39.26,Tanpa Adaptasi,1.92
1997,2014,Nigeria,North West,Sugarcane,1270.58,7.09,2.93,1,10.82,1.55,29.7,37.58,Manajemen Air,-0.68
1998,2006,Argentina,Patagonia,Vegetables,2759.74,7.39,2.78,8,10.07,26.27,69.51,92.32,Tanpa Adaptasi,27.36
1999,2004,India,Punjab,Corn,1561.55,11.89,1.66,4,75.89,6.42,11.53,55.01,Pertanian Organik,-2.91
2000,2017,China,East,Wheat,2022.98,28.79,1.98,6,15.83,14.96,0.57,91.44,Tanpa Adaptasi,1.16
2001,2008,India,Tamil Nadu,Barley,1911.74,29.87,3.969,10,71.09,0.78,19.68,63.65,Rotasi Tanaman,15.51
2002,2001,France,Ile-de-France,Soybeans,1153.23,6.86,4.89,6,55.39457475380484,23.14,68.69,90.73,Pertanian Organik,11.45
2003,2021,China,East,Rice,1799.26,14.02,3.03,8,43.52,7.02,8.89,51.05,Tanaman Tahan Kekeringan,19.59
2004,2019,India,Punjab,Wheat,2760.2,16.42,0.531,1,52.96,36.69,30.7,52.73,Rotasi Tanaman,-0.87
2005,1997,USA,Midwest,Wheat,2322.82,29.74,1.2060000000000002,3,29.58,1.37,32.35,65.05,Manajemen Air,1.32
2006,2022,Argentina,Patagonia,Wheat,1117.25,4.85,0.94,3,43.92,42.22,77.3,63.57,Rotasi Tanaman,29.06
2007,2014,Canada,Ontario,Fruits,2139.72,12.87,3.59,8,47.46,14.77,53.68,79.8,Rotasi Tanaman,24.56
2008,1992,Nigeria,North West,Cotton,2217.23,25.29,2.889,6,87.19,20.0,7.79,60.7,Pertanian Organik,18.13
2009,2003,Nigeria,South East,Wheat,1911.33,1.93,2.89,7,82.38,28.17,33.91,58.47,Tanpa Adaptasi,17.06
2010,2015,USA,Northeast,Cotton,525.44,23.4,2.034,3,76.73,49.48,63.0,89.18,Pertanian Organik,23.9
2011,1996,Argentina,Patagonia,Wheat,247.86,13.34,2.9160000000000004,8,80.24,25.72,70.54,37.42,Pertanian Organik,18.81
2012,1997,Canada,Prairies,Barley,2325.27,21.93,0.5040000000000001,9,89.68,39.47,6.23,81.74,Tanpa Adaptasi,5.16
2013,2012,Nigeria,North West,Corn,1156.21,9.94,1.62,3,69.89,21.64,16.46,80.15,Tanaman Tahan Kekeringan,-1.88
2014,2016,Australia,Victoria,Sugarcane,2117.48,25.73,2.574,5,46.0,36.9,11.64,83.55,Pertanian Organik,22.75
2015,2009,China,North,Corn,2676.65,15.12,1.602,7,50.18,1.68,97.21,53.69,Manajemen Air,10.03
2016,2014,Australia,New South Wales,Cotton,1118.92,7.33,4.08,5,12.14,28.54,14.76,60.3,Rotasi Tanaman,13.58
2017,1990,Nigeria,South West,Fruits,2652.77,1.16,1.12,9,50.53,2.51,86.58,51.21,Pertanian Organik,34.03
2018,2024,Brazil,Southeast,Barley,1618.59,23.4,1.395,6,14.46,16.64,93.64,66.1,Rotasi Tanaman,26.91
2019,2006,Canada,Ontario,Vegetables,1012.91,24.84,1.449,8,45.54,46.01,95.39,61.11,Manajemen Air,12.36
2020,2016,France,Nouvelle-Aquitaine,Coffee,2711.04,26.96,0.963,0,52.59,0.96,1.29,97.86,Rotasi Tanaman,27.15
2021,2005,China,Central,Cotton,1864.97,18.29,3.33,3,36.36,34.05,79.79,63.11,Pertanian Organik,26.15
2022,2017,Argentina,Pampas,Rice,2865.48,3.96,2.238219358974359,8,55.28,16.44,79.98,37.75,Tanpa Adaptasi,7.54
2023,1999,Brazil,North,Cotton,1174.64,0.5,1.48,1,66.21,42.48,31.22,88.39,Pertanian Organik,27.18
2024,1998,Russia,Central,Barley,2961.29,17.77,2.421,0,41.38,44.19,83.43,40.94,Tanpa Adaptasi,3.91
2025,2001,France,Provence-Alpes-Cote d’Azur,Soybeans,1886.41,3.52,2.32,7,33.52,30.01,18.03,55.8,Tanaman Tahan Kekeringan,17.84
2026,1993,Russia,Siberian,Barley,1926.65,23.12,0.882,1,39.61,27.47,63.5,93.85,Manajemen Air,8.88
2027,1995,China,Central,Fruits,2675.83,5.67,0.84,5,60.62,10.93,11.6,44.68,Tanpa Adaptasi,6.25
2028,2014,China,North,Barley,2455.91,17.42,2.367,8,23.98,24.91,30.22,59.42,Manajemen Air,26.49
2029,2004,Australia,Western Australia,Sugarcane,972.56,6.15,3.87,8,71.55,43.61,15.23,51.4,Rotasi Tanaman,14.42
2030,2019,Brazil,Southeast,Sugarcane,2597.47,1.67,3.32,9,89.24,2.93,26.85,40.66,Tanaman Tahan Kekeringan,31.46
2031,2018,Canada,British Columbia,Soybeans,1932.31,26.16,2.8440000000000003,6,13.82,29.1,4.1,36.79,Pertanian Organik,10.45
2032,2007,Russia,Central,Rice,1809.89,12.23,3.79,1,24.73,41.62,91.99,74.69,Pertanian Organik,33.72
2033,2004,USA,South,Coffee,1043.67,27.15,1.575,4,23.02,11.31,2.88,72.53,Pertanian Organik,0.54
2034,2000,Russia,Volga,Soybeans,1533.09,20.34,3.015,1,58.75,5.1,73.73,33.32,Manajemen Air,32.89
2035,2018,USA,South,Cotton,544.18,1.21,0.87,2,58.56,34.13,27.82,51.42,Tanpa Adaptasi,2.11
2036,1990,Argentina,Northwest,Coffee,2387.84,10.37,2.82,4,36.12,21.4,53.24,62.53,Rotasi Tanaman,11.93
2037,1995,India,West Bengal,Cotton,1428.32,24.65,2.385,6,98.06,26.21,97.73,59.59,Manajemen Air,16.39
2038,2013,Canada,British Columbia,Soybeans,2780.91,27.84,3.411,8,28.9,1.66,6.3,56.28,Manajemen Air,20.82
2039,1995,India,Punjab,Vegetables,2723.03,4.38,1.89,0,35.1,40.73,38.86,64.8,Rotasi Tanaman,-1.94
2040,2008,Australia,Victoria,Barley,2333.36,15.97,1.314,9,56.41,11.69,96.71,30.43,Rotasi Tanaman,6.37
2041,2002,China,North,Corn,1855.86,2.76,1.52,3,98.07,27.5,23.16,84.34,Rotasi Tanaman,-0.91
2042,1997,Argentina,Pampas,Vegetables,1313.87,20.03,2.421,7,55.39457475380484,44.17,51.56,96.04,Tanaman Tahan Kekeringan,7.26
2043,2008,Australia,New South Wales,Vegetables,2177.6,4.36,3.68,9,57.14,1.68,57.85,43.06,Pertanian Organik,17.76
2044,2012,Australia,Victoria,Barley,1374.14,3.97,1.6,4,96.91,35.65,26.19,52.4,Pertanian Organik,34.22
2045,1997,Canada,British Columbia,Soybeans,370.19,6.78,1.125,7,12.15,16.94,46.69,74.77,Tanpa Adaptasi,5.79
2046,1996,France,Ile-de-France,Rice,2886.9,10.88,2.34,4,47.92,4.32,50.68,89.37,Rotasi Tanaman,14.77
2047,2001,India,Punjab,Coffee,2249.64,20.13,3.177,10,40.67,30.36,91.9,90.58,Tanpa Adaptasi,10.73
2048,2011,India,Maharashtra,Fruits,1633.33,10.77,2.17,9,87.76,27.63,41.95,50.01,Rotasi Tanaman,29.38
2049,1993,France,Nouvelle-Aquitaine,Fruits,641.8,29.47,0.873,2,44.54,46.22,53.42,83.48,Rotasi Tanaman,5.47
2050,1995,India,West Bengal,Cotton,426.95,6.35,2.232,1,25.72,21.66,40.28,62.58,Tanpa Adaptasi,27.09
2051,2015,France,Nouvelle-Aquitaine,Soybeans,1419.73,8.89,3.49,10,12.44,35.75,48.63,40.71,Tanaman Tahan Kekeringan,21.88
2052,2000,Nigeria,South East,Corn,349.86,4.42,2.628,1,81.96,46.71,44.96,52.79,Tanpa Adaptasi,8.7
2053,2002,China,East,Fruits,2017.71,9.84,2.27,6,44.92,7.05,8.05,66.27,Rotasi Tanaman,12.58
2054,2011,Russia,Central,Fruits,1012.51,3.0,4.12,10,14.66,38.44,43.55,61.64,Manajemen Air,16.7
2055,2002,India,West Bengal,Wheat,1984.54,14.79,2.24,10,55.39457475380484,10.34,53.32,40.03,Tanaman Tahan Kekeringan,-1.87
2056,2006,Nigeria,South East,Sugarcane,1402.97,5.49,2.67,10,19.17,4.38,12.02,44.12,Manajemen Air,-3.57
2057,2005,Canada,Ontario,Rice,2916.05,27.99,1.53,2,50.19,21.62,26.1,84.96,Manajemen Air,3.69
2058,2011,Argentina,Northwest,Fruits,1513.95,11.88,4.11,6,20.04,1.28,45.29,94.95,Tanaman Tahan Kekeringan,14.1
2059,2007,Nigeria,North West,Rice,2347.13,15.66,0.558,9,63.53,26.38,10.22,56.33,Rotasi Tanaman,1.86
2060,2015,India,Tamil Nadu,Cotton,2965.15,26.61,2.4120000000000004,0,50.78,40.47,99.05,85.31,Tanaman Tahan Kekeringan,4.56
2061,2014,France,Grand Est,Barley,819.6,27.39,0.963,1,95.81,11.96,99.5,36.24,Pertanian Organik,32.3
2062,2010,Australia,New South Wales,Cotton,669.76,15.38,1.782,7,31.9,41.88,49.82,37.49,Rotasi Tanaman,21.04
2063,1996,Australia,Queensland,Soybeans,1055.06,6.06,2.64,5,66.87,42.23,90.98,51.63,Pertanian Organik,17.51
2064,2022,Brazil,North,Vegetables,585.75,2.53,2.73,10,75.73,30.19,36.78,75.32,Manajemen Air,24.76
2065,2012,Canada,Prairies,Fruits,2432.7,9.79,0.75,9,61.29,46.88,39.53,62.84,Rotasi Tanaman,-0.88
2066,1999,Nigeria,South West,Cotton,1748.58,28.76,2.106,0,97.07,31.32,25.5,72.58,Rotasi Tanaman,17.37
2067,1998,India,West Bengal,Rice,2251.4,29.07,2.457,7,62.37,38.1,92.63,85.66,Tanpa Adaptasi,26.32
2068,2015,Nigeria,North West,Corn,1195.91,9.38,0.76,5,86.9,11.16,96.69,85.38,Manajemen Air,2.33
2069,1996,Argentina,Pampas,Rice,1422.24,27.89,1.953,5,26.38,23.39,5.72,62.52,Tanpa Adaptasi,1.55
2070,1997,Russia,Siberian,Coffee,782.13,9.35,3.66,1,71.14,8.71,36.39,39.19,Manajemen Air,30.81
2071,1998,Australia,Queensland,Wheat,1119.75,15.83,2.574,10,40.22,37.77,1.48,44.89,Tanpa Adaptasi,16.47
2072,2013,France,Provence-Alpes-Cote d’Azur,Vegetables,2202.12,28.83,0.999,9,45.84,1.13,1.63,83.1,Rotasi Tanaman,30.12
2073,2023,China,Central,Rice,871.18,28.3,1.395,0,78.34,7.63,94.77,98.02,Pertanian Organik,9.24
2074,2016,Canada,Ontario,Fruits,1248.19,9.64,3.42,5,72.87,26.79,34.46,55.46,Manajemen Air,29.22
2075,1990,Canada,Quebec,Wheat,2604.51,7.04,4.01,5,11.39,13.35,24.83,31.97,Pertanian Organik,16.89
2076,2014,Argentina,Patagonia,Vegetables,1705.84,18.91,1.854,9,47.92,28.62,93.16,42.69,Pertanian Organik,-3.15
2077,2014,Argentina,Northeast,Sugarcane,2375.95,26.04,3.24,1,57.24,47.5,96.08,95.93,Tanaman Tahan Kekeringan,19.46
2078,2006,France,Nouvelle-Aquitaine,Soybeans,784.68,26.88,1.134,0,62.78,28.87,17.06,85.44,Tanpa Adaptasi,-4.53
2079,1993,USA,West,Soybeans,662.13,18.44,1.755,2,90.54,11.34,51.0,98.13,Tanaman Tahan Kekeringan,7.98
2080,2023,USA,Northeast,Soybeans,576.57,13.59,1.86,9,38.58,14.29,61.34,63.49,Tanpa Adaptasi,-4.68
2081,1997,Argentina,Northeast,Barley,1252.63,11.15,4.11,3,40.08,41.41,21.07,58.19,Pertanian Organik,18.77
2082,2002,Nigeria,South East,Wheat,2222.29,9.25,2.76,2,72.39,8.14,31.67,54.33,Pertanian Organik,2.98
2083,2010,France,Nouvelle-Aquitaine,Wheat,331.25,8.7,2.238219358974359,9,95.48,24.85,54.54,67.02,Pertanian Organik,-4.88
2084,1992,Russia,Volga,Fruits,2451.91,9.47,3.36,8,59.49,3.36,18.99,42.4,Rotasi Tanaman,16.23
2085,2012,Canada,Prairies,Sugarcane,1832.86,11.43,1.21,4,25.26,30.89,20.75,99.32,Tanaman Tahan Kekeringan,6.25
2086,2013,Argentina,Patagonia,Wheat,2036.06,5.53,2.87,6,17.44,30.55,97.03,91.88,Tanaman Tahan Kekeringan,28.93
2087,2010,Canada,British Columbia,Sugarcane,419.04,12.82,2.322,4,67.1,10.58,41.79,69.7,Rotasi Tanaman,0.85
2088,1998,Australia,New South Wales,Wheat,1645.96,24.08,3.492,0,80.28,39.58,27.02,84.54,Pertanian Organik,20.74
2089,1992,China,Central,Soybeans,2165.18,2.83,3.82,0,96.99,12.45,88.76,30.9,Manajemen Air,15.38
2090,1994,Nigeria,North Central,Corn,290.15,1.67,2.385,4,69.18,29.61,8.7,61.75,Pertanian Organik,32.06
2091,2020,Canada,Prairies,Barley,2670.49,13.28,2.37,9,36.6,21.95,56.41,68.72,Tanaman Tahan Kekeringan,22.26
2092,1994,Brazil,South,Wheat,910.32,7.5,2.93,6,84.68,36.13,73.07,79.61,Pertanian Organik,28.91
2093,2011,Australia,New South Wales,Fruits,2366.88,1.01,1.72,10,71.67,30.13,27.04,76.18,Tanaman Tahan Kekeringan,8.85
2094,1993,Australia,New South Wales,Wheat,1441.54,17.82,2.4120000000000004,3,65.38,12.44,42.76,37.06,Tanaman Tahan Kekeringan,18.63
2095,2014,USA,South,Barley,910.32,17.6,1.593,7,82.02,48.4,48.74,56.08,Pertanian Organik,-0.56
2096,2022,India,Punjab,Corn,407.37,26.85,1.98,4,97.35,44.9,38.66,93.27,Manajemen Air,13.67
2097,2018,China,Central,Rice,2884.58,25.65,2.394,0,20.92,33.95,28.11,57.66,Pertanian Organik,11.54
2098,2021,India,Punjab,Soybeans,1549.26,19.27,1.305,7,78.1,49.88,55.36,75.73,Tanpa Adaptasi,3.4
2099,2002,USA,Midwest,Wheat,2747.08,22.75,0.747,9,43.27,26.64,98.87,83.26,Pertanian Organik,34.85
2100,2008,USA,Midwest,Wheat,1290.41,17.69,2.385,10,73.62,19.29,67.14,35.97,Manajemen Air,-0.74
2101,2022,Nigeria,North West,Wheat,2615.64,17.59,0.936,7,19.21,30.37,42.16,55.84,Manajemen Air,29.75
2102,2002,France,Ile-de-France,Sugarcane,1332.21,14.88,2.238219358974359,6,84.3,33.45,91.97,71.67,Manajemen Air,19.3
2103,1995,Canada,British Columbia,Corn,1053.61,9.88,1.41,3,33.22,33.45,35.27,50.68,Tanaman Tahan Kekeringan,3.04
2104,2011,Nigeria,North Central,Cotton,1082.69,17.71,1.368,7,84.34,3.53,43.81,93.03,Tanpa Adaptasi,-1.24
2105,2004,China,North,Vegetables,2790.5,27.19,3.042,2,94.02,0.76,10.9,90.66,Rotasi Tanaman,14.38
2106,2019,Canada,Quebec,Coffee,1010.92,23.3,1.062,1,66.09,34.89,60.2,34.46,Rotasi Tanaman,30.05
2107,2021,Argentina,Pampas,Rice,975.52,8.09,2.98,0,94.94,17.44,13.98,88.55,Manajemen Air,25.64
2108,1999,Australia,Queensland,Wheat,1315.12,17.77,2.238219358974359,7,92.9,19.13,27.92,58.29,Tanpa Adaptasi,32.93
2109,2008,Nigeria,South East,Fruits,1218.43,27.76,0.855,5,42.24,2.39,49.51,87.87,Tanaman Tahan Kekeringan,29.3
2110,2010,Brazil,South,Wheat,787.6,1.83,1.39,0,95.82,2.97,4.45,71.96,Tanpa Adaptasi,25.2
2111,2023,France,Provence-Alpes-Cote d’Azur,Sugarcane,2846.99,10.31,1.34,2,79.04,14.79,34.13,41.8,Pertanian Organik,28.7
2112,1990,Argentina,Patagonia,Cotton,2132.01,25.78,2.238219358974359,2,59.64,33.46,27.32,78.72,Tanpa Adaptasi,8.84
2113,2011,Brazil,Northeast,Cotton,1380.06,7.41,2.238219358974359,8,97.69,1.68,86.95,51.32,Tanaman Tahan Kekeringan,4.19
2114,1999,Brazil,Northeast,Corn,1011.56,28.33,2.238219358974359,1,11.78,36.1,97.83,61.65,Tanpa Adaptasi,6.61
2115,1996,Argentina,Pampas,Wheat,2124.28,2.23,2.238219358974359,5,75.14,9.21,39.15,37.92,Manajemen Air,25.12
2116,1990,Nigeria,South East,Fruits,1280.16,28.79,3.852,0,34.99,29.59,11.04,62.46,Manajemen Air,17.87
2117,1998,Canada,Ontario,Fruits,437.24,26.11,2.673,3,98.83,46.24,92.52,64.68,Tanaman Tahan Kekeringan,1.18
2118,1991,Russia,Volga,Coffee,867.33,16.96,1.764,6,81.34,21.28,19.26,65.96,Manajemen Air,-3.91
2119,2009,Canada,Ontario,Wheat,679.97,5.54,2.18,3,37.28,29.41,2.26,98.22,Pertanian Organik,6.73
2120,2019,India,Maharashtra,Cotton,2548.23,22.27,0.936,4,15.74,23.63,66.95,48.2,Manajemen Air,9.31
